Rank	Feature	N_Studies	Studies	Weighted_Effect_Size	Consistency_Score	Combined_P_Value	Mean_Fold_Change	Total_Samples	Robustness_Score
85	g__Massilistercora	16	Keshavarzian;Zhang;Nishiwaki;Hopfner;Aho;Weis;Cirstea;Tan;Kenna;Wallen251;Wallen151;Jo;Lubomski;Heintz_Bushart;Qian;Pietrucci	-0.0412	0.688	5.72E-04	8162.197	3003	0.0919
86	g__Weissella	15	Petrov;Keshavarzian;Zhang;Nishiwaki;Hopfner;Aho;Weis;Tan;Wallen251;Wallen151;Jo;Lubomski;Heintz_Bushart;Qian;Pietrucci	0.0454	0.733	1.99E-03	8800.020	2731	0.0899
87	g__Coprobacillus	10	Petrov;Nishiwaki;Hopfner;Aho;Tan;Kenna;Jo;Lubomski;Qian;Pietrucci	-0.0565	0.900	1.73E-02	81045.671	1638	0.0897
88	g__Raoultibacter	14	Keshavarzian;Zhang;Nishiwaki;Aho;Weis;Tan;Kenna;Wallen251;Wallen151;Jo;Lubomski;Heintz_Bushart;Qian;Pietrucci	-0.0312	0.571	9.61E-06	2720.671	2648	0.0894
89	g__Merdibacter	16	Petrov;Keshavarzian;Zhang;Nishiwaki;Hopfner;Aho;Weis;Cirstea;Tan;Kenna;Wallen251;Wallen151;Jo;Lubomski;Heintz_Bushart;Pietrucci	-0.0583	0.812	1.33E-02	3.664	3074	0.0889
90	g__Eisenbergiella	17	Petrov;Keshavarzian;Zhang;Nishiwaki;Hopfner;Aho;Weis;Cirstea;Tan;Kenna;Wallen251;Wallen151;Jo;Lubomski;Heintz_Bushart;Qian;Pietrucci	0.0243	0.588	6.41E-07	1.192	3164	0.0884
91	g__Selenomonas_A	7	Petrov;Nishiwaki;Hopfner;Tan;Jo;Lubomski;Pietrucci	0.0375	0.571	1.21E-04	48211.567	1284	0.0839
92	g__Scatomonas	17	Petrov;Keshavarzian;Zhang;Nishiwaki;Hopfner;Aho;Weis;Cirstea;Tan;Kenna;Wallen251;Wallen151;Jo;Lubomski;Heintz_Bushart;Qian;Pietrucci	-0.0226	0.588	4.8E-07	700.059	3164	0.0838
93	g__Eubacterium_G	17	Petrov;Keshavarzian;Zhang;Nishiwaki;Hopfner;Aho;Weis;Cirstea;Tan;Kenna;Wallen251;Wallen151;Jo;Lubomski;Heintz_Bushart;Qian;Pietrucci	-0.0321	0.588	3.75E-05	1.380	3164	0.0835
94	g__Harryflintia	14	Keshavarzian;Zhang;Nishiwaki;Hopfner;Aho;Weis;Tan;Kenna;Wallen251;Wallen151;Lubomski;Heintz_Bushart;Qian;Pietrucci	-0.0269	0.786	1.15E-04	50230.151	2531	0.0832
95	g__Copromonas	17	Petrov;Keshavarzian;Zhang;Nishiwaki;Hopfner;Aho;Weis;Cirstea;Tan;Kenna;Wallen251;Wallen151;Jo;Lubomski;Heintz_Bushart;Qian;Pietrucci	0.0340	0.529	2.93E-05	1.673	3164	0.0815
96	g__UMGS1375	3	Hopfner;Qian;Pietrucci	-0.0821	0.667	3.32E-02	3.305	297	0.0809
97	g__Ligilactobacillus	16	Petrov;Keshavarzian;Zhang;Nishiwaki;Hopfner;Aho;Weis;Cirstea;Tan;Kenna;Wallen251;Wallen151;Jo;Lubomski;Qian;Pietrucci	-0.0369	0.625	4.13E-04	14382.924	3100	0.0780
98	g__Collinsella	17	Petrov;Keshavarzian;Zhang;Nishiwaki;Hopfner;Aho;Weis;Cirstea;Tan;Kenna;Wallen251;Wallen151;Jo;Lubomski;Heintz_Bushart;Qian;Pietrucci	-0.0444	0.588	1.08E-03	1.216	3164	0.0775
99	g__Mesosutterella	17	Petrov;Keshavarzian;Zhang;Nishiwaki;Hopfner;Aho;Weis;Cirstea;Tan;Kenna;Wallen251;Wallen151;Jo;Lubomski;Heintz_Bushart;Qian;Pietrucci	0.0296	0.588	4.13E-05	12530.531	3164	0.0763
